user_id,signup_date,channel,act_timestamp,act_type,Diff,members_activation
83401,2019-01-10,ORGANIC,2019-01-23,Add_Flavour,13.0,Not-Activated
83401,2019-01-10,ORGANIC,2019-01-23,Select_Category,13.0,Not-Activated
55010,2019-01-08,ORGANIC,2019-01-13,Add_Flavour,5.0,Not-Activated
55010,2019-01-08,ORGANIC,2019-01-19,Select_Category,11.0,Not-Activated
97058,2019-01-16,EMAIL,2019-01-20,Add_Flavour,4.0,Not-Activated
97058,2019-01-16,EMAIL,2019-01-20,Select_Category,4.0,Not-Activated
59748,2019-01-21,PPC,2019-01-27,Add_Flavour,6.0,Not-Activated
59748,2019-01-21,PPC,2019-02-09,Select_Category,19.0,Not-Activated
90905,2019-01-04,PPC,2019-01-19,Add_Flavour,15.0,Not-Activated
90905,2019-01-04,PPC,2019-01-21,Select_Category,17.0,Not-Activated
38651,2019-01-05,PPC,2019-01-08,Add_Flavour,3.0,Not-Activated
38651,2019-01-05,PPC,2019-01-08,Select_Category,3.0,Not-Activated
95552,2019-01-18,EMAIL,2019-01-31,Add_Flavour,13.0,Not-Activated
95552,2019-01-18,EMAIL,2019-02-03,Select_Category,16.0,Not-Activated
46829,2019-01-10,ORGANIC,2019-01-23,Add_Flavour,13.0,Not-Activated
46829,2019-01-10,ORGANIC,2019-01-24,Select_Category,14.0,Not-Activated
7149,2019-01-16,ORGANIC,2019-01-18,Add_Flavour,2.0,Not-Activated
7149,2019-01-16,ORGANIC,2019-02-01,Select_Category,16.0,Not-Activated
67059,2019-01-15,ORGANIC,2019-01-19,Add_Flavour,4.0,Not-Activated
67059,2019-01-15,ORGANIC,2019-01-25,Select_Category,10.0,Not-Activated
51979,2019-01-23,ORGANIC,2019-01-26,Add_Flavour,3.0,Not-Activated
51979,2019-01-23,ORGANIC,2019-02-04,Select_Category,12.0,Not-Activated
61559,2019-01-09,PPC,2019-01-18,Add_Flavour,9.0,Not-Activated
61559,2019-01-09,PPC,2019-01-19,Select_Category,10.0,Not-Activated
58613,2019-01-20,EMAIL,2019-01-20,Add_Flavour,0.0,Not-Activated
58613,2019-01-20,EMAIL,2019-01-25,Select_Category,5.0,Not-Activated
49070,2019-01-07,PPC,2019-01-20,Add_Flavour,13.0,Not-Activated
49070,2019-01-07,PPC,2019-01-21,Select_Category,14.0,Not-Activated
21203,2019-01-20,ORGANIC,2019-02-05,Add_Flavour,16.0,Not-Activated
21203,2019-01-20,ORGANIC,2019-02-07,Select_Category,18.0,Not-Activated
44377,2019-01-14,ORGANIC,2019-01-15,Add_Flavour,1.0,Not-Activated
44377,2019-01-14,ORGANIC,2019-02-01,Select_Category,18.0,Not-Activated
53120,2019-01-12,PPC,2019-01-24,Add_Flavour,12.0,Not-Activated
53120,2019-01-12,PPC,2019-01-31,Select_Category,19.0,Not-Activated
23816,2019-01-12,EMAIL,2019-01-29,Add_Flavour,17.0,Not-Activated
23816,2019-01-12,EMAIL,2019-01-31,Select_Category,19.0,Not-Activated
69912,2019-01-20,ORGANIC,2019-01-20,Add_Flavour,0.0,Not-Activated
